Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
ISOC2	79763	COVID-19	MESH:D000086382		Ivermectin	3,01	2
KARS1	3735	COVID-19	MESH:D000086382		Ivermectin	3,01	2
KCNH4	23415	COVID-19	MESH:D000086382		Ivermectin	3,01	2
KCNK9	51305	COVID-19	MESH:D000086382		Choline	3,01	1
LAMTOR1	55004	COVID-19	MESH:D000086382		Ivermectin	3,01	2
MACC1	346389	COVID-19	MESH:D000086382		Zinc	3,01	2
MED17	9440	COVID-19	MESH:D000086382		Zinc	3,01	2
MESD	23184	COVID-19	MESH:D000086382		Ivermectin	3,01	2
MIR34B	407041	COVID-19	MESH:D000086382		Zinc	3,01	2
NRCAM	4897	COVID-19	MESH:D000086382		Zinc Sulfate	3,01	1
NSUN7	79730	COVID-19	MESH:D000086382		Choline	3,01	1
PRDM13	59336	COVID-19	MESH:D000086382		Choline	3,01	1
PRSS56	646960	COVID-19	MESH:D000086382		Ivermectin	3,01	2
RINT1	60561	COVID-19	MESH:D000086382		Choline	3,01	1
RNF180	285671	COVID-19	MESH:D000086382		Choline	3,01	1
SLC17A4	10050	COVID-19	MESH:D000086382		Choline	3,01	1
SP8	221833	COVID-19	MESH:D000086382		Choline	3,01	1
SPATA2L	124044	COVID-19	MESH:D000086382		Zinc	3,01	2
SURF2	6835	COVID-19	MESH:D000086382		Choline	3,01	1
TMUB1	83590	COVID-19	MESH:D000086382		Choline	3,01	1
TRIM4	89122	COVID-19	MESH:D000086382		Ivermectin	3,01	2
TRIR	79002	COVID-19	MESH:D000086382		Ivermectin	3,01	2
TUBGCP4	27229	COVID-19	MESH:D000086382		Ivermectin	3,01	2
WDR55	54853	COVID-19	MESH:D000086382		Ivermectin	3,01	2
ZBTB14	7541	COVID-19	MESH:D000086382		Choline	3,01	1
ZNF326	284695	COVID-19	MESH:D000086382		Ivermectin	3,01	2
APOL1	8542	COVID-19	MESH:D000086382		Zinc	3,00	2
CAPN9	10753	COVID-19	MESH:D000086382		Zinc	3,00	2
CPN2	1370	COVID-19	MESH:D000086382		Zinc	3,00	2
DENND2B	6764	COVID-19	MESH:D000086382		Zinc	3,00	2
DHDH	27294	COVID-19	MESH:D000086382		Zinc	3,00	2
H3-3B	3021	COVID-19	MESH:D000086382		Zinc	3,00	2
IFNGR1	3459	COVID-19	MESH:D000086382		Zinc Sulfate	3,00	1
LRIF1	55791	COVID-19	MESH:D000086382		Zinc	3,00	2
MIR206	406989	COVID-19	MESH:D000086382		Zinc	3,00	2
MIR96	407053	COVID-19	MESH:D000086382		Zinc	3,00	2
NLRP1	22861	COVID-19	MESH:D000086382		Zinc	3,00	2
PLD6	201164	COVID-19	MESH:D000086382		Zinc	3,00	2
RC3H1	149041	COVID-19	MESH:D000086382		Zinc	3,00	2
SLC30A6	55676	COVID-19	MESH:D000086382		Zinc	3,00	2
SLC39A9	55334	COVID-19	MESH:D000086382		Zinc	3,00	2
TULP3	7289	COVID-19	MESH:D000086382		Zinc	3,00	2
AARS2	57505	COVID-19	MESH:D000086382		Ivermectin	2,99	2
ACAP3	116983	COVID-19	MESH:D000086382		Choline	2,99	1
ANKRD46	157567	COVID-19	MESH:D000086382		Zinc	2,99	2
ANKRD54	129138	COVID-19	MESH:D000086382		Ivermectin	2,99	2
ATP5IF1	93974	COVID-19	MESH:D000086382		Ivermectin	2,99	2
ATXN7L3B	552889	COVID-19	MESH:D000086382		Ivermectin	2,99	2
BRAP	8315	COVID-19	MESH:D000086382		Zinc	2,99	2
C2ORF49	79074	COVID-19	MESH:D000086382		Ivermectin	2,99	2
CCDC85C	317762	COVID-19	MESH:D000086382		Ivermectin	2,99	2
CCDC96	257236	COVID-19	MESH:D000086382		Choline	2,99	1
CCT6B	10693	COVID-19	MESH:D000086382		Ivermectin	2,99	2
CDH16	1014	COVID-19	MESH:D000086382		Zinc	2,99	2
CELF6	60677	COVID-19	MESH:D000086382		Choline	2,99	1
CHCHD4	131474	COVID-19	MESH:D000086382		Choline	2,99	1
CHMP7	91782	COVID-19	MESH:D000086382		Ivermectin	2,99	2
CHSY3	337876	COVID-19	MESH:D000086382		Choline	2,99	1
CNOT11	55571	COVID-19	MESH:D000086382		Ivermectin	2,99	2
CREG2	200407	COVID-19	MESH:D000086382		Choline	2,99	1
CTDNEP1	23399	COVID-19	MESH:D000086382		Ivermectin	2,99	2
DZIP1L	199221	COVID-19	MESH:D000086382		Choline	2,99	1
EIF1AD	84285	COVID-19	MESH:D000086382		Zinc	2,99	2
EMC7	56851	COVID-19	MESH:D000086382		Ivermectin	2,99	2
EYA3	2140	COVID-19	MESH:D000086382		Zinc	2,99	2
F13B	2165	COVID-19	MESH:D000086382		Zinc	2,99	2
FAM98B	283742	COVID-19	MESH:D000086382		Ivermectin	2,99	2
FGB	2244	COVID-19	MESH:D000086382		Sirolimus	2,99	1
GAB3	139716	COVID-19	MESH:D000086382		Choline	2,99	1
GALNT17	64409	COVID-19	MESH:D000086382		Choline	2,99	1
GLIS1	148979	COVID-19	MESH:D000086382		Choline	2,99	1
IARS	105148	COVID-19	MESH:D000086382		Ivermectin	2,99	2
KBTBD3	143879	COVID-19	MESH:D000086382		Choline	2,99	1
KDM8	79831	COVID-19	MESH:D000086382		Choline	2,99	1
KIT	3815	COVID-19	MESH:D000086382		Sirolimus	2,99	1
LRFN1	57622	COVID-19	MESH:D000086382		Choline	2,99	1
LRRC4	64101	COVID-19	MESH:D000086382		Choline	2,99	1
LRRTM1	347730	COVID-19	MESH:D000086382		Choline	2,99	1
LTB4R2	56413	COVID-19	MESH:D000086382		Choline	2,99	1
MDGA2	161357	COVID-19	MESH:D000086382		Choline	2,99	1
MIR410	574434	COVID-19	MESH:D000086382		Choline	2,99	1
MRM2	29960	COVID-19	MESH:D000086382		Choline	2,99	1
MYO18B	84700	COVID-19	MESH:D000086382		Choline	2,99	1
NDEL1	81565	COVID-19	MESH:D000086382		Zinc	2,99	2
NKRF	55922	COVID-19	MESH:D000086382		Zinc	2,99	2
NT5C3	107569	COVID-19	MESH:D000086382		Ivermectin	2,99	2
NT5C3B	115024	COVID-19	MESH:D000086382		Ivermectin	2,99	2
PELI3	246330	COVID-19	MESH:D000086382		Choline	2,99	1
PPP4R3A	55671	COVID-19	MESH:D000086382		Ivermectin	2,99	2
PUDP	8226	COVID-19	MESH:D000086382		Ivermectin	2,99	2
SLC25A44	9673	COVID-19	MESH:D000086382		Zinc	2,99	2
SLFN2	20556	COVID-19	MESH:D000086382		Choline	2,99	1
SNF8	11267	COVID-19	MESH:D000086382		Ivermectin	2,99	2
TAPT1	202018	COVID-19	MESH:D000086382		Choline	2,99	1
TCF23	150921	COVID-19	MESH:D000086382		Choline	2,99	1
TGDS	23483	COVID-19	MESH:D000086382		Zinc	2,99	2
TGFBRAP1	9392	COVID-19	MESH:D000086382		Choline	2,99	1
TMEM179B	374395	COVID-19	MESH:D000086382		Ivermectin	2,99	2
UPK1B	7348	COVID-19	MESH:D000086382		Zinc	2,99	2
VASH2	79805	COVID-19	MESH:D000086382		Zinc	2,99	2
VWA3B	200403	COVID-19	MESH:D000086382		Ivermectin	2,99	2
ZBTB34	403341	COVID-19	MESH:D000086382		Choline	2,99	1
ZBTB45	84878	COVID-19	MESH:D000086382		Choline	2,99	1
ZDBF2	57683	COVID-19	MESH:D000086382		Zinc	2,99	2
ACOT5	217698	COVID-19	MESH:D000086382		Choline	2,98	1
ACVR2A	92	COVID-19	MESH:D000086382		Zinc	2,98	2
ANKRD16	54522	COVID-19	MESH:D000086382		Choline	2,98	1
ASCC1	51008	COVID-19	MESH:D000086382		Ivermectin	2,98	2
CCAR2	57805	COVID-19	MESH:D000086382		Ivermectin	2,98	2
CCDC106	29903	COVID-19	MESH:D000086382		Choline	2,98	1
CCL27	10850	COVID-19	MESH:D000086382		Zinc	2,98	2
CCNG2	901	COVID-19	MESH:D000086382		Sirolimus	2,98	1
CIAO1	9391	COVID-19	MESH:D000086382		Ivermectin	2,98	2
CILP2	148113	COVID-19	MESH:D000086382		Choline	2,98	1
CSN3	1448	COVID-19	MESH:D000086382		Choline	2,98	1
E2F6	1876	COVID-19	MESH:D000086382		Zinc	2,98	2
EDC4	23644	COVID-19	MESH:D000086382		Ivermectin	2,98	2
EMC10	284361	COVID-19	MESH:D000086382		Ivermectin	2,98	2
EMC4	51234	COVID-19	MESH:D000086382		Ivermectin	2,98	2
FAM114A2	10827	COVID-19	MESH:D000086382		Ivermectin	2,98	2
FBXO33	254170	COVID-19	MESH:D000086382		Zinc	2,98	2
FCRLS	80891	COVID-19	MESH:D000086382		Choline	2,98	1
GCC1	79571	COVID-19	MESH:D000086382		Zinc	2,98	2
GFOD2	81577	COVID-19	MESH:D000086382		Choline	2,98	1
GORASP1	64689	COVID-19	MESH:D000086382		Choline	2,98	1
ICA1L	130026	COVID-19	MESH:D000086382		Choline	2,98	1
IER3IP1	51124	COVID-19	MESH:D000086382		Ivermectin	2,98	2
INSL6	11172	COVID-19	MESH:D000086382		Choline	2,98	1
KCNK13	56659	COVID-19	MESH:D000086382		Choline	2,98	1
LRCH3	84859	COVID-19	MESH:D000086382		Ivermectin	2,98	2
METTL26	84326	COVID-19	MESH:D000086382		Ivermectin	2,98	2
MIEN1	84299	COVID-19	MESH:D000086382		Ivermectin	2,98	2
MON1B	22879	COVID-19	MESH:D000086382		Ivermectin	2,98	2
NAT8F2	93673	COVID-19	MESH:D000086382		Choline	2,98	1
NELFCD	51497	COVID-19	MESH:D000086382		Ivermectin	2,98	2
NHEJ1	79840	COVID-19	MESH:D000086382		Choline	2,98	1
NRBF2	29982	COVID-19	MESH:D000086382		Zinc	2,98	2
NSUN4	387338	COVID-19	MESH:D000086382		Ivermectin	2,98	2
P2RY10	27334	COVID-19	MESH:D000086382		Choline	2,98	1
PARL	55486	COVID-19	MESH:D000086382		Choline	2,98	1
PEX11G	92960	COVID-19	MESH:D000086382		Choline	2,98	1
PNLIPRP2	5408	COVID-19	MESH:D000086382		Zinc	2,98	2
POLDIP3	84271	COVID-19	MESH:D000086382		Ivermectin	2,98	2
PYCR3	65263	COVID-19	MESH:D000086382		Ivermectin	2,98	2
RBMX2	51634	COVID-19	MESH:D000086382		Choline	2,98	1
RFX3	5991	COVID-19	MESH:D000086382		Zinc	2,98	2
RPP14	11102	COVID-19	MESH:D000086382		Ivermectin	2,98	2
SETMAR	6419	COVID-19	MESH:D000086382		Zinc	2,98	2
SLC25A40	55972	COVID-19	MESH:D000086382		Ivermectin	2,98	2
SYPL2	284612	COVID-19	MESH:D000086382		Choline	2,98	1
TAB3	257397	COVID-19	MESH:D000086382		Zinc	2,98	2
TMEM115	11070	COVID-19	MESH:D000086382		Choline	2,98	1
TMEM151A	256472	COVID-19	MESH:D000086382		Choline	2,98	1
TPRG1L	127262	COVID-19	MESH:D000086382		Ivermectin	2,98	2
TRAPPC12	51112	COVID-19	MESH:D000086382		Ivermectin	2,98	2
TRO	7216	COVID-19	MESH:D000086382		Choline	2,98	1
TTI1	9675	COVID-19	MESH:D000086382		Ivermectin	2,98	2
UGT3A2	167127	COVID-19	MESH:D000086382		Ivermectin	2,98	2
ALDOB	229	COVID-19	MESH:D000086382		Zinc Sulfate	2,97	1
APH1A	51107	COVID-19	MESH:D000086382		Choline	2,97	1
BARX2	8538	COVID-19	MESH:D000086382		Choline	2,97	1
CCDC107	203260	COVID-19	MESH:D000086382		Choline	2,97	1
CRYBB3	1417	COVID-19	MESH:D000086382		Choline	2,97	1
CYP2B13	13089	COVID-19	MESH:D000086382		Choline	2,97	1
CYP4F14	64385	COVID-19	MESH:D000086382		Choline	2,97	1
DMRTA2	63950	COVID-19	MESH:D000086382		Choline	2,97	1
DUS1L	64118	COVID-19	MESH:D000086382		Choline	2,97	1
EVPL	2125	COVID-19	MESH:D000086382		Choline	2,97	1
FBXO38	81545	COVID-19	MESH:D000086382		Choline	2,97	1
GALNT9	50614	COVID-19	MESH:D000086382		Choline	2,97	1
HABP4	22927	COVID-19	MESH:D000086382		Choline	2,97	1
HELB	92797	COVID-19	MESH:D000086382		Choline	2,97	1
IFNAR1	3454	COVID-19	MESH:D000086382		Zinc	2,97	2
IGSF21	84966	COVID-19	MESH:D000086382		Choline	2,97	1
KLC3	147700	COVID-19	MESH:D000086382		Choline	2,97	1
L3MBTL2	83746	COVID-19	MESH:D000086382		Choline	2,97	1
LRRC27	80313	COVID-19	MESH:D000086382		Choline	2,97	1
MEP1A	4224	COVID-19	MESH:D000086382		Choline	2,97	1
MIR10A	406902	COVID-19	MESH:D000086382		Zinc	2,97	2
MIR17	406952	COVID-19	MESH:D000086382		Choline	2,97	1
NINL	22981	COVID-19	MESH:D000086382		Zinc	2,97	2
PARP11	57097	COVID-19	MESH:D000086382		Choline	2,97	1
PCGF1	84759	COVID-19	MESH:D000086382		Choline	2,97	1
RIMS4	140730	COVID-19	MESH:D000086382		Choline	2,97	1
SCML1	6322	COVID-19	MESH:D000086382		Zinc	2,97	2
SDR9C7	121214	COVID-19	MESH:D000086382		Choline	2,97	1
SERPINB10	5273	COVID-19	MESH:D000086382		Choline	2,97	1
SEZ6L	23544	COVID-19	MESH:D000086382		Zinc	2,97	2
STK16	8576	COVID-19	MESH:D000086382		Choline	2,97	1
TLX2	3196	COVID-19	MESH:D000086382		Choline	2,97	1
TNK1	8711	COVID-19	MESH:D000086382		Choline	2,97	1
TRPC4AP	26133	COVID-19	MESH:D000086382		Choline	2,97	1
TUBG2	27175	COVID-19	MESH:D000086382		Choline	2,97	1
WDR86	349136	COVID-19	MESH:D000086382		Choline	2,97	1
YBX2	51087	COVID-19	MESH:D000086382		Choline	2,97	1
ZDHHC5	25921	COVID-19	MESH:D000086382		Choline	2,97	1
ACNAT2	209186	COVID-19	MESH:D000086382		Choline	2,96	1
ANKLE1	126549	COVID-19	MESH:D000086382		Choline	2,96	1
AP4S1	11154	COVID-19	MESH:D000086382		Ivermectin	2,96	2
ARL11	115761	COVID-19	MESH:D000086382		Choline	2,96	1
ASB4	51666	COVID-19	MESH:D000086382		Choline	2,96	1
BTAF1	9044	COVID-19	MESH:D000086382		Zinc	2,96	2
CAND2	23066	COVID-19	MESH:D000086382		Choline	2,96	1
CBLN2	147381	COVID-19	MESH:D000086382		Choline	2,96	1
CRAMP1	57585	COVID-19	MESH:D000086382		Choline	2,96	1
CYBC1	79415	COVID-19	MESH:D000086382		Ivermectin	2,96	2
CYP11A1	1583	COVID-19	MESH:D000086382		Chloroquine	2,96	5
ELOA	6924	COVID-19	MESH:D000086382		Zinc	2,96	2
EML3	256364	COVID-19	MESH:D000086382		Ivermectin	2,96	2
EPHX3	79852	COVID-19	MESH:D000086382		Choline	2,96	1
EXOC6B	23233	COVID-19	MESH:D000086382		Ivermectin	2,96	2
FBLL1	345630	COVID-19	MESH:D000086382		Ivermectin	2,96	2
FBXO7	25793	COVID-19	MESH:D000086382		Ivermectin	2,96	2
FOXS1	2307	COVID-19	MESH:D000086382		Choline	2,96	1
GEMIN7	79760	COVID-19	MESH:D000086382		Ivermectin	2,96	2
GLRA3	8001	COVID-19	MESH:D000086382		Ivermectin	2,96	2
GUCY2D	3000	COVID-19	MESH:D000086382		Ivermectin	2,96	2
HOXA7	3204	COVID-19	MESH:D000086382		Choline	2,96	1
HYAL3	8372	COVID-19	MESH:D000086382		Choline	2,96	1
IFITM6	213002	COVID-19	MESH:D000086382		Choline	2,96	1
IFNLR1	163702	COVID-19	MESH:D000086382		Choline	2,96	1
JOSD1	9929	COVID-19	MESH:D000086382		Zinc	2,96	2
JRK	8629	COVID-19	MESH:D000086382		Choline	2,96	1
KBTBD2	25948	COVID-19	MESH:D000086382		Zinc	2,96	2
KCTD11	147040	COVID-19	MESH:D000086382		Choline	2,96	1
KLHL26	55295	COVID-19	MESH:D000086382		Choline	2,96	1
KLK10	5655	COVID-19	MESH:D000086382		Zinc	2,96	2
LMTK2	22853	COVID-19	MESH:D000086382		Choline	2,96	1
LY6C	56778	COVID-19	MESH:D000086382		Choline	2,96	1
METTL6	131965	COVID-19	MESH:D000086382		Choline	2,96	1
MIR182	406958	COVID-19	MESH:D000086382		Zinc	2,96	2
MIR429	554210	COVID-19	MESH:D000086382		Choline	2,96	1
MS4A6D	68774	COVID-19	MESH:D000086382		Choline	2,96	1
NLRP2	55655	COVID-19	MESH:D000086382		Ivermectin	2,96	2
NOVA2	4858	COVID-19	MESH:D000086382		Choline	2,96	1
NXPE4	54827	COVID-19	MESH:D000086382		Ivermectin	2,96	2
ORM3	18407	COVID-19	MESH:D000086382		Choline	2,96	1
PACRG	135138	COVID-19	MESH:D000086382		Choline	2,96	1
PRAME	23532	COVID-19	MESH:D000086382		Choline	2,96	1
PYM1	84305	COVID-19	MESH:D000086382		Ivermectin	2,96	2
RNF122	79845	COVID-19	MESH:D000086382		Choline	2,96	1
RNF214	257160	COVID-19	MESH:D000086382		Ivermectin	2,96	2
RTRAF	51637	COVID-19	MESH:D000086382		Ivermectin	2,96	2
SCAMP3	10067	COVID-19	MESH:D000086382		Ivermectin	2,96	2
SERPINB3	6317	COVID-19	MESH:D000086382		Zinc	2,96	2
SLC39A7	7922	COVID-19	MESH:D000086382		Zinc	2,96	2
SNIP1	79753	COVID-19	MESH:D000086382		Zinc	2,96	2
SORCS3	22986	COVID-19	MESH:D000086382		Choline	2,96	1
TAC4	255061	COVID-19	MESH:D000086382		Choline	2,96	1
TBPL1	9519	COVID-19	MESH:D000086382		Zinc	2,96	2
TEAD3	7005	COVID-19	MESH:D000086382		Choline	2,96	1
TMIE	259236	COVID-19	MESH:D000086382		Choline	2,96	1
TNFA	405785	COVID-19	MESH:D000086382		Zinc	2,96	2
TRAPPC8	22878	COVID-19	MESH:D000086382		Ivermectin	2,96	2
TRIM45	80263	COVID-19	MESH:D000086382		Choline	2,96	1
TRMT112	51504	COVID-19	MESH:D000086382		Ivermectin	2,96	2
UEVLD	55293	COVID-19	MESH:D000086382		Ivermectin	2,96	2
VPS26C	10311	COVID-19	MESH:D000086382		Ivermectin	2,96	2
WDR5B	54554	COVID-19	MESH:D000086382		Choline	2,96	1
WDR91	29062	COVID-19	MESH:D000086382		Ivermectin	2,96	2
ZBTB2	57621	COVID-19	MESH:D000086382		Zinc	2,96	2
ZSWIM4	65249	COVID-19	MESH:D000086382		Choline	2,96	1
ANAPC15	25906	COVID-19	MESH:D000086382		Ivermectin	2,95	2
ARMT1	79624	COVID-19	MESH:D000086382		Ivermectin	2,95	2
CCNT1	904	COVID-19	MESH:D000086382		Zinc	2,95	2
CEP97	79598	COVID-19	MESH:D000086382		Ivermectin	2,95	2
CYP2C12	25011	COVID-19	MESH:D000086382		Zinc	2,95	2
DRG1	4733	COVID-19	MESH:D000086382		Ivermectin	2,95	2
GABRQ	55879	COVID-19	MESH:D000086382		Ivermectin	2,95	2
GPATCH2	55105	COVID-19	MESH:D000086382		Zinc	2,95	2
INTS14	81556	COVID-19	MESH:D000086382		Ivermectin	2,95	2
MYBPH	4608	COVID-19	MESH:D000086382		Zinc	2,95	2
ODR4	54953	COVID-19	MESH:D000086382		Ivermectin	2,95	2
PALB2	79728	COVID-19	MESH:D000086382		Zinc	2,95	2
PANK2	80025	COVID-19	MESH:D000086382		Zinc	2,95	2
PPP1R8	5511	COVID-19	MESH:D000086382		Ivermectin	2,95	2
PTDSS1	9791	COVID-19	MESH:D000086382		Ivermectin	2,95	2
RASAL3	64926	COVID-19	MESH:D000086382		Ivermectin	2,95	2
RFT1	91869	COVID-19	MESH:D000086382		Ivermectin	2,95	2
SAMSN1	64092	COVID-19	MESH:D000086382		Zinc	2,95	2
SNUPN	10073	COVID-19	MESH:D000086382		Ivermectin	2,95	2
SPCS1	28972	COVID-19	MESH:D000086382		Ivermectin	2,95	2
TACO1	51204	COVID-19	MESH:D000086382		Ivermectin	2,95	2
TBC1D10B	26000	COVID-19	MESH:D000086382		Ivermectin	2,95	2
TBC1D13	54662	COVID-19	MESH:D000086382		Ivermectin	2,95	2
TMED8	283578	COVID-19	MESH:D000086382		Ivermectin	2,95	2
TRIM26	7726	COVID-19	MESH:D000086382		Zinc	2,95	2
TSEN34	79042	COVID-19	MESH:D000086382		Ivermectin	2,95	2
TXNDC15	79770	COVID-19	MESH:D000086382		Ivermectin	2,95	2
UQCC1	55245	COVID-19	MESH:D000086382		Ivermectin	2,95	2
ADAMTSL5	339366	COVID-19	MESH:D000086382		Choline	2,94	1
ANKRD27	84079	COVID-19	MESH:D000086382		Choline	2,94	1
AP4E1	23431	COVID-19	MESH:D000086382		Choline	2,94	1
APOBR	55911	COVID-19	MESH:D000086382		Choline	2,94	1
C1QTNF7	114905	COVID-19	MESH:D000086382		Choline	2,94	1
CD180	4064	COVID-19	MESH:D000086382		Choline	2,94	1
CEP112	201134	COVID-19	MESH:D000086382		Choline	2,94	1
ENPP4	22875	COVID-19	MESH:D000086382		Zinc	2,94	2
EPS8L3	79574	COVID-19	MESH:D000086382		Choline	2,94	1
FBXL6	26233	COVID-19	MESH:D000086382		Choline	2,94	1
FEZF2	55079	COVID-19	MESH:D000086382		Choline	2,94	1
FUT7	2529	COVID-19	MESH:D000086382		Choline	2,94	1
GABRA6	2559	COVID-19	MESH:D000086382		Zinc	2,94	2
HINFP	25988	COVID-19	MESH:D000086382		Choline	2,94	1
IL17RE	132014	COVID-19	MESH:D000086382		Choline	2,94	1
ILDR1	286676	COVID-19	MESH:D000086382		Choline	2,94	1
KLHL23	151230	COVID-19	MESH:D000086382		Zinc	2,94	2
KLHL41	10324	COVID-19	MESH:D000086382		Zinc	2,94	2
LHFP	108927	COVID-19	MESH:D000086382		Choline	2,94	1
MED30	90390	COVID-19	MESH:D000086382		Zinc	2,94	2
MGAT3	4248	COVID-19	MESH:D000086382		Zinc	2,94	2
MIR93	407050	COVID-19	MESH:D000086382		Zinc	2,94	2
MIS12	79003	COVID-19	MESH:D000086382		Zinc	2,94	2
MOSPD3	64598	COVID-19	MESH:D000086382		Choline	2,94	1
MTHFSD	64779	COVID-19	MESH:D000086382		Choline	2,94	1
MYL3	4634	COVID-19	MESH:D000086382		Zinc	2,94	2
MYOC	4653	COVID-19	MESH:D000086382		Zinc	2,94	2
NFE2L2A	360149	COVID-19	MESH:D000086382		Zinc	2,94	2
NFKBID	84807	COVID-19	MESH:D000086382		Zinc	2,94	2
PCDHAC2	56134	COVID-19	MESH:D000086382		Choline	2,94	1
PIWIL2	55124	COVID-19	MESH:D000086382		Choline	2,94	1
RGL2	5863	COVID-19	MESH:D000086382		Choline	2,94	1
RUNDC3B	154661	COVID-19	MESH:D000086382		Zinc	2,94	2
SERPINA4	5267	COVID-19	MESH:D000086382		Zinc	2,94	2
SERTAD3	29946	COVID-19	MESH:D000086382		Zinc	2,94	2
STK11IP	114790	COVID-19	MESH:D000086382		Choline	2,94	1
SUPT3H	8464	COVID-19	MESH:D000086382		Choline	2,94	1
TMEM134	80194	COVID-19	MESH:D000086382		Choline	2,94	1
TMLHE	55217	COVID-19	MESH:D000086382		Zinc	2,94	2
TNFAIP8L2	79626	COVID-19	MESH:D000086382		Choline	2,94	1
TRPM3	80036	COVID-19	MESH:D000086382		Zinc	2,94	2
TUBGCP5	114791	COVID-19	MESH:D000086382		Choline	2,94	1
USP38	84640	COVID-19	MESH:D000086382		Choline	2,94	1
WFDC18	14038	COVID-19	MESH:D000086382		Choline	2,94	1
A1BG	1	COVID-19	MESH:D000086382		Zinc	2,93	2
ADGRL4	64123	COVID-19	MESH:D000086382		Zinc	2,93	2
ADPRH	141	COVID-19	MESH:D000086382		Choline	2,93	1
ALG11	440138	COVID-19	MESH:D000086382		Ivermectin	2,93	2
ANKRD13B	124930	COVID-19	MESH:D000086382		Choline	2,93	1
AOAH	313	COVID-19	MESH:D000086382		Choline	2,93	1
ATXN7L2	127002	COVID-19	MESH:D000086382		Choline	2,93	1
BIRC2	329	COVID-19	MESH:D000086382		Sirolimus	2,93	1
BOLA2	552900	COVID-19	MESH:D000086382		Ivermectin	2,93	2
CBR2	12409	COVID-19	MESH:D000086382		Choline	2,93	1
CCSER2	54462	COVID-19	MESH:D000086382		Zinc	2,93	2
CD244	51744	COVID-19	MESH:D000086382		Choline	2,93	1
CMTR1	23070	COVID-19	MESH:D000086382		Ivermectin	2,93	2
CWF19L1	55280	COVID-19	MESH:D000086382		Ivermectin	2,93	2
CYP3A18	252931	COVID-19	MESH:D000086382		Zinc	2,93	2
DAZL	1618	COVID-19	MESH:D000086382		Zinc	2,93	2
DCSTAMP	81501	COVID-19	MESH:D000086382		Choline	2,93	1
DENND1C	79958	COVID-19	MESH:D000086382		Choline	2,93	1
DHX8	1659	COVID-19	MESH:D000086382		Ivermectin	2,93	2
DNAH11	8701	COVID-19	MESH:D000086382		Choline	2,93	1
DOLPP1	57171	COVID-19	MESH:D000086382		Choline	2,93	1
DPCD	25911	COVID-19	MESH:D000086382		Ivermectin	2,93	2
DYNLRB2	83657	COVID-19	MESH:D000086382		Ivermectin	2,93	2
EMC1	23065	COVID-19	MESH:D000086382		Ivermectin	2,93	2
EMC2	9694	COVID-19	MESH:D000086382		Ivermectin	2,93	2
FPGT	8790	COVID-19	MESH:D000086382		Choline	2,93	1
GPR19	2842	COVID-19	MESH:D000086382		Zinc	2,93	2
GPR39	2863	COVID-19	MESH:D000086382		Zinc	2,93	2
H3C2	8358	COVID-19	MESH:D000086382		Zinc	2,93	2
HDGFL2	84717	COVID-19	MESH:D000086382		Ivermectin	2,93	2
HOXA4	3201	COVID-19	MESH:D000086382		Choline	2,93	1
HS3ST3A1	9955	COVID-19	MESH:D000086382		Choline	2,93	1
HS3ST6	64711	COVID-19	MESH:D000086382		Choline	2,93	1
INHBC	3626	COVID-19	MESH:D000086382		Zinc	2,93	2
INPP4A	3631	COVID-19	MESH:D000086382		Zinc	2,93	2
INTS9	55756	COVID-19	MESH:D000086382		Ivermectin	2,93	2
KDM2A	22992	COVID-19	MESH:D000086382		Zinc	2,93	2
KDM3B	51780	COVID-19	MESH:D000086382		Ivermectin	2,93	2
LGI2	55203	COVID-19	MESH:D000086382		Choline	2,93	1
LMX1A	4009	COVID-19	MESH:D000086382		Choline	2,93	1
LRRC15	131578	COVID-19	MESH:D000086382		Choline	2,93	1
MCRIP1	348262	COVID-19	MESH:D000086382		Ivermectin	2,93	2
MFSD5	84975	COVID-19	MESH:D000086382		Ivermectin	2,93	2
MFSD6	54842	COVID-19	MESH:D000086382		Zinc	2,93	2
MIR205	406988	COVID-19	MESH:D000086382		Zinc	2,93	2
MKKS	8195	COVID-19	MESH:D000086382		Zinc	2,93	2
MPLKIP	136647	COVID-19	MESH:D000086382		Ivermectin	2,93	2
MRFAP1	93621	COVID-19	MESH:D000086382		Ivermectin	2,93	2
NOP10	55505	COVID-19	MESH:D000086382		Ivermectin	2,93	2
NPAS3	64067	COVID-19	MESH:D000086382		Choline	2,93	1
NUDT18	79873	COVID-19	MESH:D000086382		Choline	2,93	1
OIT3	170392	COVID-19	MESH:D000086382		Choline	2,93	1
PEX1	5189	COVID-19	MESH:D000086382		Zinc	2,93	2
PLA2G12B	84647	COVID-19	MESH:D000086382		Zinc	2,93	2
PRKAG3	53632	COVID-19	MESH:D000086382		Ivermectin	2,93	2
RC3H2	54542	COVID-19	MESH:D000086382		Ivermectin	2,93	2
RDH12	145226	COVID-19	MESH:D000086382		Zinc	2,93	2
RHOV	171177	COVID-19	MESH:D000086382		Zinc	2,93	2
RNF34	80196	COVID-19	MESH:D000086382		Choline	2,93	1
RNPEPL1	57140	COVID-19	MESH:D000086382		Choline	2,93	1
SCGN	10590	COVID-19	MESH:D000086382		Ivermectin	2,93	2
SEMA6C	10500	COVID-19	MESH:D000086382		Choline	2,93	1
